POP,REG16,REG16_BC,NONE,REG_A,1,12,0,0xc1,
JP,NZ,REG_A,DATA16_UNSIGNED,REG_A,3,16,12,0xc2,
JP,DATA16_UNSIGNED,REG_A,NONE,REG_A,3,16,0,0xc3,
CALL,NZ,REG_A,DATA16_UNSIGNED,REG_A,3,24,12,0xc4,
PUSH,REG16,REG16_BC,NONE,REG_A,1,16,0,0xc5,
ADD,REG8,REG_A,DATA8,REG_A,2,8,0,0xc6,
RST,00H,REG_A,NONE,REG_A,1,16,0,0xc7,
RET,Z,REG_A,NONE,REG_A,1,20,8,0xc8,
RET,NONE,REG_A,NONE,REG_A,1,16,0,0xc9,
JP,Z,REG_A,DATA16_UNSIGNED,REG_A,3,16,12,0xca,
PREFIX_CB,NONE,REG_A,NONE,REG_A,1,4,0,0xcb,
CALL,Z,REG_A,DATA16_UNSIGNED,REG_A,3,24,12,0xcc,
CALL,DATA16_UNSIGNED,REG_A,NONE,REG_A,3,24,0,0xcd,
ADC,REG8,REG_A,DATA8,REG_A,2,8,0,0xce,
RST,08H,REG_A,NONE,REG_A,1,16,0,0xcf,
RET,NC,REG_A,NONE,REG_A,1,20,8,0xd0,
POP,REG16,REG16_DE,NONE,REG_A,1,12,0,0xd1,
JP,NC,REG_A,DATA16_UNSIGNED,REG_A,3,16,12,0xd2,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xd3,
CALL,NC,REG_A,DATA16_UNSIGNED,REG_A,3,24,12,0xd4,
PUSH,REG16,REG16_DE,NONE,REG_A,1,16,0,0xd5,
SUB,DATA8,REG_A,NONE,REG_A,2,8,0,0xd6,
RST,10H,REG_A,NONE,REG_A,1,16,0,0xd7,
RET,REG8,REG_C,NONE,REG_A,1,20,8,0xd8,
RETI,NONE,REG_A,NONE,REG_A,1,16,0,0xd9,
JP,REG8,REG_C,DATA16_UNSIGNED,REG_A,3,16,12,0xda,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xdb,
CALL,REG8,REG_C,DATA16_UNSIGNED,REG_A,3,24,12,0xdc,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xdd,
SBC,REG8,REG_A,DATA8,REG_A,2,8,0,0xde,
RST,18H,REG_A,NONE,REG_A,1,16,0,0xdf,
LDH,DATA8_UNSIGNED_INDIRECT,REG_A,REG8,REG_A,2,12,0,0xe0,
POP,REG16,REG16_HL,NONE,REG_A,1,12,0,0xe1,
LD,REG8_INDIRECT,REG_C,REG8,REG_A,1,8,0,0xe2,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xe3,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xe4,
PUSH,REG16,REG16_HL,NONE,REG_A,1,16,0,0xe5,
AND,DATA8,REG_A,NONE,REG_A,2,8,0,0xe6,
RST,20H,REG_A,NONE,REG_A,1,16,0,0xe7,
ADD,REG16,REG16_SP,REL8,REG_A,2,16,0,0xe8,
JP,REG16_INDIRECT,REG16_HL,NONE,REG_A,1,4,0,0xe9,
LD,DATA16_UNSIGNED_INDIRECT,REG_A,REG8,REG_A,3,16,0,0xea,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xeb,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xec,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xed,
XOR,DATA8,REG_A,NONE,REG_A,2,8,0,0xee,
RST,28H,REG_A,NONE,REG_A,1,16,0,0xef,
LDH,REG8,REG_A,DATA8_UNSIGNED_INDIRECT,REG_A,2,12,0,0xf0,
POP,REG16,REG16_AF,NONE,REG_A,1,12,0,0xf1,
LD,REG8,REG_A,REG8_INDIRECT,REG_C,2,8,0,0xf2,
DI,NONE,REG_A,NONE,REG_A,1,4,0,0xf3,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xf4,
PUSH,REG16,REG16_AF,NONE,REG_A,1,16,0,0xf5,
OR,DATA8,REG_A,NONE,REG_A,2,8,0,0xf6,
RST,30H,REG_A,NONE,REG_A,1,16,0,0xf7,
LD,REG16,REG16_HL,REL8_ADD_SP,REG_A,2,12,0,0xf8,
LD,REG16,REG16_SP,REG16,REG16_HL,1,8,0,0xf9,
LD,REG8,REG_A,DATA16_UNSIGNED_INDIRECT,REG_A,3,16,0,0xfa,
EI,NONE,REG_A,NONE,REG_A,1,4,0,0xfb,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xfc,
INVALID,NONE,REG_A,NONE,REG_A,0,0,0,0xfd,
CP,DATA8,REG_A,NONE,REG_A,2,8,0,0xfe,
RST,38H,REG_A,NONE,REG_A,1,16,0,0xff,
